str_date,Negative,Neutral,Positive
05-09-2011,4.0,2.0,8.0
05-10-2010,2.0,11.0,1.0
05-10-2011,5.0,2.0,7.0
05-11-2010,5.0,3.0,6.0
05-11-2011,3.0,3.0,8.0
05-12-2010,3.0,3.0,8.0
05-12-2011,2.0,1.0,11.0
05-13-2010,5.0,5.0,4.0
05-13-2011,4.0,4.0,5.0
05-14-2010,6.0,0.0,8.0
05-16-2011,4.0,1.0,6.0
05-17-2010,4.0,0.0,10.0
05-18-2010,2.0,1.0,11.0
05-19-2010,6.0,2.0,6.0
05-20-2010,2.0,2.0,10.0
05-21-2010,8.0,1.0,5.0
05-24-2010,8.0,0.0,6.0
05-25-2010,7.0,0.0,5.0
05-26-2010,4.0,0.0,10.0
05-27-2010,8.0,0.0,5.0
05-28-2010,7.0,2.0,5.0
06-01-2010,8.0,2.0,4.0
06-02-2010,6.0,3.0,5.0
06-03-2010,3.0,2.0,9.0
06-04-2010,7.0,1.0,6.0
06-07-2010,5.0,2.0,7.0
06-08-2010,2.0,3.0,8.0
06-09-2010,4.0,4.0,6.0
06-10-2010,8.0,1.0,5.0
06-11-2010,9.0,2.0,3.0
06-14-2010,8.0,1.0,5.0
06-15-2010,3.0,1.0,10.0
06-16-2010,7.0,3.0,4.0
06-17-2010,7.0,2.0,5.0
06-18-2010,3.0,2.0,5.0
06-21-2010,9.0,2.0,3.0
06-22-2010,6.0,1.0,7.0
06-23-2010,8.0,0.0,6.0
06-24-2010,4.0,2.0,8.0
06-25-2010,6.0,0.0,8.0
06-28-2010,6.0,2.0,6.0
06-29-2010,9.0,1.0,4.0
06-30-2010,5.0,3.0,6.0
07-01-2010,5.0,4.0,5.0
07-02-2010,9.0,2.0,3.0
07-06-2010,5.0,4.0,5.0
07-07-2010,3.0,3.0,8.0
07-08-2010,8.0,2.0,4.0
07-09-2010,4.0,3.0,5.0
07-12-2010,8.0,4.0,2.0
07-13-2010,7.0,0.0,7.0
07-14-2010,4.0,4.0,6.0
07-15-2010,3.0,5.0,6.0
07-16-2010,4.0,3.0,7.0
07-19-2010,8.0,2.0,4.0
07-20-2010,8.0,0.0,6.0
07-21-2010,7.0,2.0,5.0
07-22-2010,4.0,7.0,3.0
07-23-2010,4.0,3.0,7.0
07-26-2010,5.0,2.0,7.0
07-27-2010,7.0,3.0,3.0
07-28-2010,3.0,1.0,10.0
07-29-2010,4.0,4.0,6.0
07-30-2010,3.0,0.0,11.0
08-02-2010,9.0,1.0,4.0
08-03-2010,8.0,1.0,5.0
08-04-2010,9.0,1.0,4.0
08-05-2010,8.0,3.0,3.0
08-06-2010,7.0,2.0,5.0
08-09-2010,5.0,1.0,6.0
08-10-2010,7.0,1.0,6.0
08-11-2010,6.0,2.0,6.0
08-12-2010,5.0,3.0,6.0
08-13-2010,6.0,1.0,7.0
08-16-2010,2.0,2.0,10.0
08-17-2010,6.0,0.0,8.0
08-18-2010,2.0,1.0,7.0
08-19-2010,5.0,3.0,6.0
08-20-2010,3.0,5.0,6.0
08-23-2010,0.0,0.0,4.0
08-24-2010,3.0,2.0,9.0
08-25-2010,6.0,3.0,5.0
08-26-2010,6.0,2.0,6.0
08-27-2010,5.0,4.0,5.0
08-30-2010,8.0,0.0,6.0
08-31-2010,2.0,2.0,10.0
09-01-2010,7.0,1.0,6.0
09-02-2010,3.0,3.0,8.0
09-03-2010,3.0,0.0,11.0
09-07-2010,6.0,1.0,7.0
09-08-2010,6.0,1.0,6.0
09-09-2010,7.0,2.0,5.0
09-10-2010,3.0,5.0,6.0
09-13-2010,6.0,3.0,5.0
09-14-2010,5.0,2.0,7.0
09-15-2010,4.0,1.0,9.0
09-16-2010,11.0,0.0,3.0
09-17-2010,8.0,0.0,6.0
09-20-2010,8.0,2.0,4.0
09-21-2010,6.0,0.0,8.0
09-22-2010,7.0,0.0,7.0
09-23-2010,6.0,1.0,7.0
09-24-2010,8.0,0.0,6.0
09-27-2010,4.0,5.0,5.0
09-28-2010,7.0,0.0,7.0
09-29-2010,3.0,1.0,10.0
09-30-2010,1.0,2.0,11.0
10-01-2010,4.0,4.0,6.0
10-04-2010,10.0,0.0,4.0
10-05-2010,4.0,4.0,6.0
10-06-2010,6.0,1.0,7.0
10-07-2010,6.0,2.0,6.0
10-08-2010,6.0,5.0,3.0
10-11-2010,0.0,11.0,3.0
10-12-2010,6.0,3.0,5.0
10-13-2010,2.0,3.0,9.0
10-14-2010,2.0,3.0,9.0
10-15-2010,9.0,0.0,5.0
10-18-2010,10.0,2.0,2.0
10-19-2010,6.0,1.0,7.0
10-20-2010,8.0,1.0,1.0
10-21-2010,3.0,2.0,9.0
10-22-2010,5.0,1.0,8.0
10-25-2010,4.0,3.0,7.0
10-26-2010,7.0,2.0,5.0
10-27-2010,5.0,2.0,7.0
10-28-2010,5.0,4.0,5.0
10-29-2010,4.0,2.0,8.0
11-01-2010,6.0,3.0,5.0
11-02-2010,4.0,3.0,7.0
11-03-2010,7.0,1.0,6.0
11-04-2010,5.0,5.0,4.0
11-05-2010,4.0,1.0,8.0
11-08-2010,4.0,0.0,10.0
11-09-2010,5.0,3.0,6.0
11-10-2010,7.0,1.0,6.0
11-11-2010,9.0,0.0,5.0
11-12-2010,8.0,0.0,6.0
11-15-2010,6.0,5.0,3.0
11-16-2010,3.0,4.0,7.0
11-17-2010,5.0,2.0,7.0
11-18-2010,3.0,3.0,8.0
11-19-2010,7.0,3.0,4.0
11-22-2010,7.0,2.0,5.0
11-23-2010,7.0,1.0,5.0
11-24-2010,6.0,1.0,7.0
11-29-2010,2.0,3.0,9.0
11-30-2010,5.0,1.0,8.0
12-01-2010,6.0,1.0,7.0
12-02-2010,4.0,2.0,8.0
12-03-2010,6.0,1.0,7.0
12-06-2010,3.0,4.0,7.0
12-07-2010,1.0,3.0,7.0
12-08-2010,2.0,1.0,2.0
12-09-2010,4.0,1.0,9.0
12-10-2010,4.0,1.0,9.0
12-13-2010,1.0,0.0,4.0
12-14-2010,8.0,2.0,4.0
12-15-2010,8.0,0.0,6.0
12-16-2010,0.0,3.0,11.0
12-17-2010,7.0,2.0,5.0
12-20-2010,9.0,1.0,4.0
12-21-2010,4.0,2.0,8.0
12-22-2010,2.0,0.0,12.0
12-27-2010,3.0,1.0,10.0
12-28-2010,5.0,1.0,8.0
12-29-2010,5.0,4.0,5.0
12-30-2010,2.0,1.0,11.0
